mnid,clean_cooking,clean_lighting,house_ownership,male_head,literate_head,age_head,share_sq,pol_term,div_index,pol_index,year,new_lu_name,_est_m1,yhat_ols,_est_m2,yhat_fe_div,_est_m3,yhat_fe_both
Bhojpur Municipality,.25109649,.98903507,.84978068,.67105263,.75767541,48.585526,.5192513979050375,.2047610908048227,.48074859,.79523891,2021,,1,.37495592,1,.2469164,1,.24672672
Arun Gaunpalika,.0017006802,.62932366,.95986891,.74129069,.64104784,48.090851,,,.8068924,.55815214,2011,Arun,1,.088068254,1,-.027994074,1,-.049441222
Arun Gaunpalika,.036565978,.98410177,.96820349,.75834656,.65182829,52.187599,.498985795101234,.1894884917419404,.50101423,.81051153,2021,,1,.1819654,1,.066260733,1,.087707877
Pauwa Dunma Gaunpalika,.004730274,.55604202,.96487719,.67939413,.59281003,48.965073,,,.65849352,.62921679,2011,Pauwadungma,1,.026126724,1,-.056097496,1,-.066778675
Pauwa Dunma Gaunpalika,.042704627,.98754448,.95551604,.75444841,.68683273,50.914589,.4560594197896535,.1204078287119046,.5439406,.87959218,2021,,1,.22358674,1,.1035324,1,.11421358
Ramprasad Rai Gaunpalika,0,.62207472,.96699119,.69860059,.53209013,49.079231,,,.71619982,.55643451,2011,Ramprasad Rai,1,.031102549,1,-.058727734,1,-.068586126
Ramprasad Rai Gaunpalika,.027777778,.97376543,.97993827,.74845678,.66512346,51.699074,.5576786723827354,.2621832253644243,.44232133,.73781675,2021,,1,.15313467,1,.08650551,1,.096363902
Hatuwagadhi Gaunpalika,.0010548524,.48723707,.96283108,.70972121,.53252929,48.74218,,,.4820503,.62134618,2011,Hatuwagadhi,1,-.026574912,1,-.056885168,1,-.044789646
Hatuwagadhi Gaunpalika,.053097345,.94837761,.96165192,.76106197,.679941,52.172565,.6311238334533016,.3669388483976945,.36887616,.63306117,2021,,1,.15802759,1,.11103737,1,.098941848
Aamchowk Gaunpalika,0,.56685495,.96519673,.78722507,.5099144,49.328148,,,.63102204,.75754952,2011,Aamchowk,1,.0079329265,1,-.071506202,1,-.046390366
Aamchowk Gaunpalika,.028938906,.94212216,.96945339,.72990352,.62861735,50.135048,.5984764721048919,.3184733425150625,.40152353,.68152666,2021,,1,.15965736,1,.10044511,1,.075329274
Mahalaxmi Municipality,.020366786,.87596112,.93440461,.71967143,.67858851,46.745857,,,.75280273,.60085756,2011,Mahalaxmi,1,.12066455,1,.002629888,1,-.01949361
Mahalaxmi Municipality,.10037175,.99132591,.94671625,.77447337,.74349445,49.41016,.4132716656605453,.0793049035710283,.58672833,.92069513,2021,,1,.26459557,1,.11810865,1,.14023215
Pakhribas Municipality,.027336378,.85283184,.93472195,.71509486,.64263189,47.344826,,,.78992033,.60533285,2011,Pakhribas,1,.12234096,1,.0092969788,1,-.010030369
Pakhribas Municipality,.1574074,.98809522,.91137564,.6574074,.6785714,49.764549,.4393506518068477,.1055416393792257,.56064934,.89445835,2021,,1,.29293638,1,.17544681,1,.19477415
Chhathar Jorpati Gaunpalika,.058118355,.86335921,.88743663,.70779479,.59974682,47.233738,,,.767995,.64228904,2011,Chhathar Jorpati,1,.17747775,1,.079086624,1,.072932862
Chhathar Jorpati Gaunpalika,.23043478,.99130434,.92753625,.70579708,.7521739,48.053623,.5308985409295701,.1842362647294067,.46910146,.81576371,2021,,1,.26526046,1,.2094665,1,.21562026
Dhankuta Municipality,.031847134,.87621045,.93915385,.8153643,.73263943,48.019394,,,.83368337,.50621164,2011,Dhankuta,1,.13974181,1,.095264569,1,.07956022
Dhankuta Municipality,.56887299,.99105543,.77012521,.64579606,.79248661,46.474957,.4536519128670307,.1439740647329018,.54634809,.85602593,2021,,1,.52137768,1,.50545555,1,.52115989
Shahidbhumi Gaunpalika,.0080845049,.84589678,.97121996,.80817062,.52794826,48.771877,,,.3405444,.51738071,2011,Shahidbhumi,1,-.076055959,1,.0039034563,1,.027236609
Shahidbhumi Gaunpalika,.18128654,.97660822,.97953218,.72076023,.67836255,50.213451,.7317800026915222,.5242310949834064,.26822001,.47576889,2021,,1,.11399096,1,.18546759,1,.16213444
Sangurigadhi Gaunpalika,.038534645,.87661117,.92176974,.6858539,.59333295,48.163647,,,.48120162,.49851191,2011,Sangurigadhi,1,.041800279,1,.060297377,1,.098882847
Sangurigadhi Gaunpalika,.20052083,.98697919,.96744794,.71744794,.74739581,49.164063,.858215223813545,.7322143343044445,.14178477,.26778567,2021,,1,.11053649,1,.1787581,1,.14017263
Chaubise Gaunpalika,.012197816,.84299147,.93001628,.66877508,.65063447,46.974281,,,.70145392,.67415571,2011,Chaubise,1,.10588779,1,-.0053550638,1,.017046541
Chaubise Gaunpalika,.12760055,.98751736,.94313455,.72122055,.77947295,47.855755,.6620797136609298,.4091677403775975,.33792028,.59083223,2021,,1,.21163349,1,.14515343,1,.12275182
Aatharai Gaunpalika,.0050624902,.60788852,.85840851,.76276851,.63871008,48.393826,,,.79211593,.57970983,2011,Aathrai,1,.22563343,1,-.043741889,1,-.060467504
Aatharai Gaunpalika,.046348315,.99016851,.88342696,.7724719,.77387643,49.98455,.4662779086950195,.1568453733052593,.5337221,.84315461,2021,,1,.33980635,1,.095152691,1,.11187831
Phedap Gaunpalika,.0048840051,.68369955,.92864013,.71395224,.65009153,49.273064,,,.72887576,.68992144,2011,Phedap,1,.10404398,1,-.037845094,1,-.041680649
Phedap Gaunpalika,.048211507,.98755831,.9564541,.77604979,.77293932,49.76672,.4482809369386587,.1124319969676435,.55171907,.887568,2021,,1,.24306656,1,.090940602,1,.094776161
Menchhayayem Gaunpalika,0,.63496995,.92259777,.73545122,.58901793,50.398708,,,.71206057,.6302349,2011,Menchayam,1,.093991488,1,-.059769675,1,-.067055091
Menchhayayem Gaunpalika,.029776676,.97766751,.95285362,.73200995,.73945409,50.027294,.4531455045269013,.1261005126871169,.5468545,.87389946,2021,,1,.23951882,1,.089546353,1,.096831769
Myanglung Municipality,.13376872,.94758457,.83353341,.72579205,.73811537,46.055676,,,.77078879,.61566842,2011,Myanglung,1,.28000659,1,.13927794,1,.12550513
Myanglung Municipality,.32760897,.99207395,.81109643,.63143986,.79920739,47.953766,.4346858283279289,.1306886593811214,.56531417,.86931133,2021,,1,.46121353,1,.32209978,1,.33587256
Laligurans Municipality,.033440392,.89441913,.93155587,.74292022,.68164462,45.979988,,,.69305569,.71490574,2011,Laligurans,1,.11323519,1,.019288097,1,.014400115
Laligurans Municipality,.1843318,.99231952,.90168971,.69892472,.73271888,48.706604,.4600761178680557,.1100667932478245,.53992391,.88993323,2021,,1,.31516424,1,.19848409,1,.20337208
Chhathar Gaunpalika,.012923995,.78418338,.9291746,.71621579,.58295226,48.02993,,,.70638609,.65922993,2011,Chhathar,1,.094872512,1,-.014148549,1,-.018895755
Chhathar Gaunpalika,.09149278,.98715889,.94863564,.77528089,.69983947,49.688602,.4742551402923993,.1597699393169023,.52574486,.84023005,2021,,1,.23734203,1,.11856532,1,.12331253
Yangbarak Gaunpalika,.020387597,.59240943,.87969035,.77190471,.64714336,46.730228,,,.68814516,.71823347,2011,Yangwarak,1,.17703521,1,.0015976462,1,.0094111133
Yangbarak Gaunpalika,.071428575,.99255955,.92410713,.77529764,.73065478,48.57143,.5637904088774235,.2360408638778608,.43620959,.76395911,2021,,1,.25712404,1,.090218529,1,.082405061
Hilihan Gaunpalika,.015146096,.52535045,.87524039,.71105695,.59717864,47.462837,,,.7709862,.62757665,2011,Hilihang,1,.19399683,1,-.011828339,1,-.025945101
Hilihan Gaunpalika,.061307903,.98910081,.93596733,.75068122,.76566756,49.173023,.4733063610874524,.1389765306375921,.52669364,.86102349,2021,,1,.26648927,1,.088282339,1,.1023991
Falelung Gaunpalika,.0037327823,.40296939,.94694734,.77507138,.60941088,46.634617,,,.73450482,.70948982,2011,Falelung,1,.090749189,1,-.049260397,1,-.021536037
