mnid,clean_cooking,clean_lighting,div_index,pol_index,new_lu_name,yhat_ols,yhat_fe_div,yhat_fe_both
Panchakanya Gaunpalika,.2735849,.99056602,.60509145,.90765303,,.21319407,.23262815,.23885353
Shivapuri Gaunpalika,.094612353,.99868596,.44198716,.76374531,,.15851445,.12501544,.11520895
Kakani Gaunpalika,.3890785,.99658704,.35241663,.63674289,,.14372247,.29506978,.27446461
Shankharapur Municipality,.7248677,.99365079,.47758356,.86860806,,.4194667,.6532504,.64549357
Kageshwori Manahara Municipality,.96393144,.99774569,.52480203,.84613776,,.86468387,1.0282375,1.0147221
Gokarneshwor Municipality,.96942151,.99917358,.54228038,.8668009,,1.093173,1.0633434,1.0620102
Budhanilkhantha Municipality,.97538811,.99810678,.57777131,.91812158,,.9936018,1.0606492,1.0853267
Tokha Municipality,.97121996,.99828178,.56529123,.92836326,,1.0771338,1.0450579,1.0637761
Tarakeshwor Municipality,.98380566,.99878544,.55796021,.93256831,,1.0213341,1.0527101,1.0533831
Nagarjun Municipality,.98311442,.99859285,.57146317,.92365158,,.97554374,1.0204606,1.0406625
Kathmandu Metropolitan City,.98848712,.99205446,.62810493,.85694432,,1.1322855,1.0021274,1.0315928
Kirtipur Municipality,.98759437,.99406689,.59819406,.89409977,,1.0482019,.99848002,1.0099952
Chandragiri Municipality,.97294939,.99694592,.57715178,.91880691,,.87433416,1.0116183,1.0225759
Dakshinkali Municipality,.75501114,.98775053,.51451945,.86886704,,.40026167,.64024895,.64696211
Changunarayan Municipality,.89512897,.99885386,.56275338,.93591148,,.56078017,.79819071,.79400039
Bhaktapur Municipality,.92312425,.999385,.27488208,.48398033,,.616377,.92342293,.8983019
Madhyapur Thimi Municipality,.94846797,.9972145,.57465923,.92022812,,.96780986,1.0182283,1.0312142
Suryabinayak Municipality,.91353714,.99868995,.56177896,.93588543,,.77939671,.94524056,.9422037
Mahalaxmi Municipality,.95734817,1,.61330521,.87814569,,.8151657,1.0613503,1.0623817
Lalitpur Metropolitan City,.95559448,.99795502,.55094975,.82303762,,.87278312,1.0247866,1.0352085
Godawari Municipality,.85489982,.99729294,.52939415,.88621747,,.57074887,.78738379,.79127288
Konjyosom Gaunpalika,.2516129,1,.24713729,.48491436,,.15241918,.24147353,.21865693
Mahankal Gaunpalika,.19178082,.99543381,.51662129,.97516578,,.28186032,.24401353,.2449041
Bagmati Gaunpalika,.15398887,.99072355,.44122043,.8141703,,.16587801,.097451456,.092839465
Chauri Deurali Gaunpalika,.099855281,.9985528,.5821299,.92032599,,.1662408,.1414047,.14828694
Bhumlu Gaunpalika,.16666667,.99311292,.55254519,.90884858,,.18342389,.19482663,.21116154
Mandan Deupur Municipality,.442,.99800003,.63433915,.86364931,,.2413242,.39091015,.39733711
Banepa Municipality,.88110965,.99867898,.54513764,.94858831,,.63870174,.79127556,.78779131
Dhulikhel Municipality,.75954199,.9942748,.57665259,.91421801,,.45383361,.64236557,.64856011
Panchkhal Municipality,.57802403,.9953832,.67591244,.81221133,,.2766301,.4606891,.45557484
Temal Gaunpalika,.20238096,.99867725,.28548929,.50963736,,.042047698,.16212858,.13614143
Namobuddha Municipality,.38110402,.99256903,.54222792,.86411637,,.23301193,.30839348,.31367245
Panauti Municipality,.7015267,.99770993,.55153203,.93920487,,.38414395,.54822677,.5448007
Bethanchowk Gaunpalika,.18702866,.9984917,.44808018,.84091622,,.15517086,.17244034,.16274339
Roshi Gaunpalika,.19486581,.9976663,.3665829,.64061534,,.12014413,.18688893,.1699799
Mahabharat Gaunpalika,.018707482,.99659866,.10538391,.2040979,,.034609053,.078111231,.010275412
Khanikhola Gaunpalika,.062248997,.99397588,.12189306,.23674528,,.076206662,.13799326,.090098053
Umakunda Gaunpalika,.080058224,.99417758,.57938248,.89749068,,.21058223,.11816397,.12572081
Gokulganga Gaunpalika,.10377359,.98921835,.56479841,.9386856,,.18045454,.1202247,.13175881
Likhu Tamakoshi Gaunpalika,.082914576,.99623114,.55717838,.89538646,,.14902754,.11924052,.13620065
Ramechhap Municipality,.11479029,.99227375,.48144105,.77846277,,.1721563,.15567388,.14643021
Manthali  Municipality,.25312239,.99583679,.61227846,.90227044,,.26937357,.25831348,.27417889
Khandadevi Gaunpalika,.091133006,.99384236,.52903175,.86802316,,.16398723,.13471726,.13144931
Doramba Shailung Gaunpalika,.027096774,.99741936,.33330923,.57841647,,.059349846,.07231129,.048367068
Sunapati Gaunpalika,.061870504,.99136692,.47805512,.83692849,,.11835816,.12386045,.11910967
Dudhouli Municipality,.26212937,.98719674,.74089664,.72826511,,.26188055,.25010437,.25234666
